NNo,TSIndex,Spills,Evap_Loss,Seepage,Ups_Rel,Pump_In,Gw_In,Dws_Rel,Pump_Out,Hydra_Cap,Head_Avg,Powr_Avg,Energy,Pwr_2nd,Hydro_State
1,0,0,0,0,0,0,0,0,0,0,952.22000000000003,0,0,0,0
38,0,0,0,0,311.09800000000001,0,0,349.13999999999999,6.8230000000000004,0,963.39771367009826,0,0,0,0
1,1,0,-0.36399999999999999,0,0,0,0,0,0,0,952.22000000000003,0,0,0,0
38,1,0,-36.088000000000001,0,311.09800000000001,0,0,349.13999999999999,6.8230000000000004,0,963.39531960737372,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,952.22000000000003,0,0,0,0
38,2,0,0,0,311.09800000000001,0,0,349.13999999999999,6.8230000000000004,0,963.39292554464919,0,0,0,0
1,3,0,-0.53900000000000003,0,0,0,0,0,0,0,952.22000000000003,0,0,0,0
38,3,0,-53.390000000000001,0,311.09800000000001,0,0,349.13999999999999,6.8230000000000004,0,963.39154895858269,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,952.22000000000003,0,0,0,0
38,4,0,0,0,311.09800000000001,0,0,349.13999999999999,6.8230000000000004,0,963.39023222408423,0,0,0,0
1,5,0,-0.56000000000000005,0,0,0,0,0,0,0,952.22538461538466,0,0,0,0
38,5,0,-55.393999999999998,0,311.09800000000001,0,0,349.13999999999999,6.8230000000000004,0,963.38897534115392,0,0,0,0
1,6,0,-0.42099999999999999,0,0,0,0,0,0,0,952.23076923076928,0,0,0,0
38,6,0,-41.622,0,311.09800000000001,0,0,349.13999999999999,6.8230000000000004,0,963.39023222408423,0,0,0,0
1,7,0,-0.51200000000000001,0,0,0,0,0,0,0,952.23615384615391,0,0,0,0
38,7,0,-50.283000000000001,0,311.09800000000001,0,0,349.13999999999999,6.8230000000000004,0,963.391189849174,0,0,0,0
1,8,0,0.35699999999999998,0,0,0,0,0,0,0,952.24153846153854,0,0,0,0
